Player,Shot_Number,Shot_Type,Start_Frame,End_Frame,Duration_Seconds,Max_Racket_Velocity_px_s,Avg_Racket_Velocity_px_s,Min_Hip_Knee_Angle_deg,Avg_Hip_Knee_Angle_deg,Min_Elbow_Angle_deg,Avg_Elbow_Angle_deg,Avg_Torso_Angle_deg,CoG_Horizontal_Movement_px,CoG_Vertical_Movement_px
Player_1,98,Forehand,4506,4513,0.23,1489.37,792.41,174.12,176.08,55.51,91.73,166.3,22.81,11.13
Player_1,99,Forehand,4514,4517,0.1,3516.37,1235.91,168.46,171.41,76.03,131.83,168.8,5.3,6.3
Player_1,100,Forehand,4535,4537,0.07,2872.66,1026.12,168.55,169.49,145.86,157.91,174.26,0.9,5.4
Player_1,101,Forehand,4633,4635,0.07,753.03,373.09,145.6,151.93,124.2,125.86,133.16,14.24,10.28
Player_1,102,Backhand,4644,4647,0.1,2234.56,1057.37,180.0,180.0,130.07,146.45,105.45,10.5,8.59
Player_1,103,Forehand,4655,4659,0.13,2855.6,1239.78,55.23,72.16,128.4,149.11,53.35,77.54,6.75
Player_1,104,Forehand,4661,4662,0.03,165.48,82.74,53.98,56.92,138.63,144.3,53.03,59.96,4.18
Player_1,105,Backhand,4668,4669,0.03,423.05,211.52,72.01,75.87,49.9,64.86,78.7,20.84,11.11
Player_1,106,Backhand,4672,4673,0.03,222.05,111.02,48.31,50.1,86.35,94.89,65.39,0.86,8.94
Player_1,107,Forehand,4675,4677,0.07,721.48,374.38,23.69,28.24,2.01,37.38,52.27,61.89,4.18
Player_1,108,Forehand,4678,4694,0.53,1734.14,1033.35,0.61,15.4,0.02,36.64,23.69,95.28,75.18
Player_2,1,Backhand,6,7,0.03,380.69,190.35,159.43,159.79,137.57,138.59,156.5,4.7,0.95
Player_2,2,Backhand,11,14,0.1,1053.36,457.47,167.15,168.18,144.56,145.05,163.81,1.17,3.46
Player_2,3,Backhand,21,23,0.07,1764.16,667.49,172.2,172.52,137.87,138.92,169.44,5.34,3.44
Player_2,4,Backhand,24,28,0.13,2534.06,864.87,172.63,174.25,137.61,139.02,171.85,1.48,5.62
Player_2,5,Backhand,34,36,0.07,1133.41,430.06,178.99,179.21,140.59,142.5,176.46,0.77,5.36
Player_2,6,Backhand,39,40,0.03,155.17,77.58,177.47,178.41,145.02,145.34,177.79,0.44,0.81
Player_2,7,Backhand,81,83,0.07,1081.47,465.67,178.69,179.24,159.43,159.77,171.97,3.58,2.75
Player_2,8,Backhand,84,87,0.1,1433.99,624.67,178.36,179.08,160.9,161.47,167.78,7.36,3.24
Player_2,9,Backhand,88,89,0.03,383.93,191.97,179.14,179.39,166.5,167.27,166.75,1.04,4.46
Player_2,10,Backhand,92,94,0.07,721.63,328.21,177.58,178.46,156.43,158.91,167.25,5.35,7.91
Player_2,11,Backhand,237,239,0.07,790.61,375.04,163.27,165.34,129.48,133.56,169.86,3.55,19.48
Player_2,12,Backhand,240,241,0.03,218.69,109.35,166.82,167.53,133.3,137.27,170.94,1.72,9.88
Player_2,13,Forehand,469,472,0.1,880.64,519.19,161.61,166.12,97.46,103.77,169.48,3.67,5.11
Player_2,14,Backhand,552,564,0.4,1282.79,695.19,127.8,149.62,101.39,116.67,130.75,122.47,24.61
Player_2,15,Forehand,633,637,0.13,644.11,398.85,141.52,144.2,109.67,115.92,107.0,11.12,10.8
Player_2,16,Forehand,645,650,0.17,1777.71,892.52,118.91,129.15,72.08,91.57,118.14,2.94,9.82
Player_2,17,Forehand,655,670,0.5,3675.21,1168.99,114.53,138.82,81.99,103.01,113.25,97.25,35.32
Player_2,18,Forehand,678,682,0.13,1438.52,785.92,144.64,149.25,80.78,96.48,151.95,14.27,11.49
Player_2,19,Forehand,684,689,0.17,1317.35,701.29,158.39,165.07,123.99,133.79,163.56,31.78,9.58
Player_2,20,Forehand,699,701,0.07,529.46,332.21,171.89,172.98,129.41,131.65,178.67,1.59,1.72
Player_2,21,Backhand,703,710,0.23,2170.46,954.37,169.67,170.91,57.28,79.69,175.14,17.55,10.2
Player_2,22,Backhand,712,724,0.4,4721.32,2125.03,171.74,176.98,78.7,102.23,172.51,17.25,24.12
Player_2,23,Forehand,725,728,0.1,1717.55,820.2,166.74,168.77,87.62,97.35,174.61,1.6,3.84
